ID,estuary,tran,plot,RTKele,MLLW,MHHW,TR,filter2,elrelHW
147,Lower_Laguna_Madre,4,57,0.39,-0.2727,0.1319,0.4046,1,0.258069
148,Lower_Laguna_Madre,4,58,0.338,-0.2727,0.1319,0.4046,1,0.206069
149,Lower_Laguna_Madre,4,59,0.31,-0.2727,0.1319,0.4046,1,0.178069
150,Lower_Laguna_Madre,4,60,0.301,-0.2727,0.1319,0.4046,1,0.169069
151,Lower_Laguna_Madre,4,61,0.264,-0.2727,0.1319,0.4046,1,0.132069
152,Lower_Laguna_Madre,4,62,0.278,-0.2727,0.1319,0.4046,1,0.146069
153,Lower_Laguna_Madre,4,63,0.268,-0.2727,0.1319,0.4046,1,0.136069
154,Lower_Laguna_Madre,5,64,-0.034,-0.2688,0.1304,0.3992,0,-0.164407
155,Lower_Laguna_Madre,5,65,-0.042,-0.2688,0.1304,0.3992,0,-0.172407
156,Lower_Laguna_Madre,5,66,-0.037,-0.2688,0.1304,0.3992,1,-0.167407
157,Lower_Laguna_Madre,5,67,0.05,-0.2688,0.1304,0.3992,1,-0.0804075
158,Lower_Laguna_Madre,5,68,0.045,-0.2688,0.1304,0.3992,1,-0.0854075
159,Lower_Laguna_Madre,5,69,0.191,-0.2688,0.13,0.3988,1,0.0610134
160,Lower_Laguna_Madre,5,70,0.217,-0.2688,0.13,0.3988,1,0.0870134
161,Lower_Laguna_Madre,5,71,0.224,-0.2666,0.13,0.3966,1,0.0940134
162,Lower_Laguna_Madre,5,72,0.221,-0.2666,0.13,0.3966,1,0.0910134
163,Lower_Laguna_Madre,5,73,0.241,-0.2666,0.13,0.3966,1,0.111013
164,Lower_Laguna_Madre,5,74,0.225,-0.2666,0.13,0.3966,1,0.0950134
165,Lower_Laguna_Madre,5,75,0.241,-0.2666,0.13,0.3966,1,0.111013
166,Lower_Laguna_Madre,5,76,0.233,-0.2666,0.13,0.3966,1,0.103013
167,Lower_Laguna_Madre,6,77,0.059,-0.1314,0.0969,0.2283,0,-0.0378749
168,Lower_Laguna_Madre,6,78,0.146,-0.1314,0.0969,0.2283,0,0.0491251
169,Lower_Laguna_Madre,6,79,0.287,-0.1314,0.0969,0.2283,1,0.190125
170,Lower_Laguna_Madre,6,80,0.298,-0.1314,0.0969,0.2283,1,0.201125
171,Lower_Laguna_Madre,6,81,0.248,-0.1314,0.0969,0.2283,1,0.151125
172,Lower_Laguna_Madre,6,82,0.227,-0.1314,0.0969,0.2283,1,0.130125
173,Lower_Laguna_Madre,6,83,0.217,-0.1314,0.0969,0.2283,1,0.120125
174,Lower_Laguna_Madre,6,84,0.222,-0.1314,0.0969,0.2283,1,0.125125
175,Lower_Laguna_Madre,6,85,0.219,-0.1314,0.097,0.2284,1,0.122011
176,Lower_Laguna_Madre,6,86,0.314,-0.1314,0.097,0.2284,1,0.217011
177,Lower_Laguna_Madre,6,87,0.389,-0.1314,0.097,0.2284,0,0.292011
178,Lower_Laguna_Madre,6,88,0.404,-0.1314,0.097,0.2284,0,0.307011
179,Lower_Laguna_Madre,6,89,0.463,-0.1314,0.097,0.2284,0,0.366011
180,Lower_Laguna_Madre,6,90,0.58,-0.1314,0.097,0.2284,0,0.483011
181,Lower_Laguna_Madre,6,91,0.62,-0.1314,0.097,0.2284,0,0.523011
182,Lower_Laguna_Madre,6,92,0.721,-0.1314,0.097,0.2284,0,0.624011
